fund,vintage_year,capital_committed,cash_in,cash_out,cash_out_and_remaining_value,net_irr,investment_multiple
"2024 Golden Bay, L.P.",2025,100000000,24096354,0,25360415,N/M,N/M
"2SP I, L.P.",2024,600000000,294306839,0,431905329,N/M,N/M
"57 Stars Global Opportunities Fund 2 (CalPERS), LLC",2009,500000000,530736052,539723168,735901763,5.3%,1.4x
"57 Stars Global Opportunities Fund, LLC",2007,390500000,415069889,559657488,570098778,5.8%,1.4x
"AACP AP Investors, L.P.",2007,14108080,15007205,16976917,16976917,2.0%,1.1x
AACP China Growth Investors,2007,50000000,52082929,83523328,83523328,7.8%,1.6x
AACP India Investors B,2007,5000000,5317745,21124531,21124531,12.8%,4.0x
AACP India Investors C,2009,5000000,5320648,4703782,4703782,-1.6%,0.9x
AACP India Venture Investors A,2007,5000000,5225777,5866067,5866067,1.9%,1.1x
"Accel-KKR Capital Partners VII, LP",2025,180000000,32853295,0,23033086,N/M,N/M
"Acrew Capital Fund III, L.P.",2024,70000000,28405496,0,25620560,N/M,N/M
"Acrew Diversify Capital Fund II, L.P.",2024,50000000,16579252,0,14751403,N/M,N/M
Advent Global Technology II Limited Partnership,2022,150000000,103149864,0,135849857,11.5%,1.3x
Advent International GPE IX Limited Partnership,2019,550000000,525249416,197484061,839585229,12.3%,1.6x
"Advent International GPE V-D, L.P.",2005,81101126,77609736,187471024,187471024,42.7%,2.4x
"Advent International GPE VI-A, L.P.",2008,500000000,502306204,1006375016,1041834165,16.3%,2.1x
"Advent International GPE VII-C, L.P.",2012,450000000,432732784,750635967,781174401,13.1%,1.8x
Advent International GPE VIII-B Limited Partnership,2016,500000000,500000000,747343529,1049510646,15.4%,2.1x
Advent International GPE X Limited Partnership,2022,650000000,406307622,6902342,545115832,16.6%,1.3x
"AlpInvest Secondaries Fund (onshore) VII, L.P.",2021,373893702,369919723,503684119,503684119,15.1%,1.4x
Amberbrook IX LP,2023,150000000,110477292,10898710,171729006,41.0%,1.6x
"American Industrial Partners Capital Fund VIII, L.P.",2024,200000000,115307122,9151143,145442081,N/M,N/M
"AMZL, LP",2023,600000000,370456661,5564774,348901172,-4.7%,0.9x
"Apollo European Principal Finance Fund, L.P.",2008,82949474,165281284,200770615,200867499,11.9%,1.2x
"Apollo Investment Fund IV, L.P.",1998,150000000,154085315,254289011,254306962,8.5%,1.7x
"Apollo Investment Fund IX, L.P",2019,550000000,570508294,353741604,860936511,14.6%,1.5x
"Apollo Investment Fund VI, L.P.",2006,520000000,866357105,1218417644,1227266492,8.2%,1.4x
"Apollo Investment Fund VIII, L.P.",2013,350000000,505117339,646429435,721051747,8.7%,1.4x
"Apollo Investment Fund X, L.P.",2023,225000000,103909711,26496564,132946303,19.3%,1.3x
"Apollo S3 Equity & Hybrid Solutions Fund, L.P.",2025,175000000,61582659,0,77813195,N/M,N/M
"Apollo Special Opportunities Managed Account, L.P.",2007,800000000,800000000,1098196169,1098196169,3.8%,1.4x
"ArcLight Energy Partners Fund III, L.P.",2006,200000000,212312180,314980433,314980433,8.6%,1.5x
"ArcLight Energy Partners Fund IV, L.P.",2007,250000000,255794752,388365992,388847672,12.6%,1.5x
"Ares Corporate Opportunities Fund III, L.P.",2008,400000000,512078628,1059418691,1060684631,20.2%,2.1x
"Ares Corporate Opportunities Fund V, L.P.",2017,425000000,478380134,271818351,590534630,4.6%,1.2x
"Ares Corporate Opportunities Fund VI, L.P.",2021,250000000,325820130,139565052,469401282,16.0%,1.4x
"Arlington Capital Partners VI, L.P.",2023,300000000,230959260,10210739,310847262,19.0%,1.3x
Arsenal Capital Partners Growth LP,2022,50000000,22094120,928742,13129615,-20.7%,0.6x
